14.23,1.71,2.43,15.6,127,2.8,3.06,.28,2.29,5.64,1.04,3.92,1065
14.39,1.87,2.45,14.6,96,2.5,2.52,.3,1.98,5.25,1.02,3.58,1290
13.75,1.73,2.41,16,89,2.6,2.76,.29,1.81,5.6,1.15,2.9,1320
14.19,1.59,2.48,16.5,108,3.3,3.93,.32,1.86,8.7,1.23,2.82,1680
13.73,1.5,2.7,22.5,101,3,3.25,.29,2.38,5.7,1.19,2.71,1285
13.28,1.64,2.84,15.5,110,2.6,2.68,.34,1.36,4.6,1.09,2.78,880
13.88,1.89,2.59,15,101,3.25,3.56,.17,1.7,5.43,.88,3.56,1095
14.1,2.02,2.4,18.8,103,2.75,2.92,.32,2.38,6.2,1.07,2.75,1060
12.33,1.1,2.28,16,101,2.05,1.09,.63,.41,3.27,1.25,1.67,680
13.11,1.01,1.7,15,78,2.98,3.18,.26,2.28,5.3,1.12,3.18,502
13.49,1.66,2.24,24,87,1.88,1.84,.27,1.03,3.74,.98,2.78,472
12.33,.99,1.95,14.8,136,1.9,1.85,.35,2.76,3.4,1.06,2.31,750
12.08,1.83,2.32,18.5,81,1.6,1.5,.52,1.64,2.4,1.08,2.27,480
11.81,2.12,2.74,21.5,134,1.6,.99,.14,1.56,2.5,.95,2.26,625
12.34,2.45,2.46,21,98,2.56,2.11,.34,1.31,2.8,.8,3.38,438
12.22,1.29,1.94,19,92,2.36,2.04,.39,2.08,2.7,.86,3.02,312
11.45,2.4,2.42,20,96,2.9,2.79,.32,1.83,3.25,.8,3.39,625
12.43,1.53,2.29,21.5,86,2.74,3.15,.39,1.77,3.94,.69,2.84,352
12.81,2.31,2.4,24,98,1.15,1.09,.27,.83,5.7,.66,1.36,560
13.49,3.59,2.19,19.5,88,1.62,.48,.58,.88,5.7,.81,1.82,580
13.5,3.12,2.62,24,123,1.4,1.57,.22,1.25,8.60,.59,1.3,500
13.84,4.12,2.38,19.5,89,1.8,.83,.48,1.56,9.01,.57,1.64,480
12.85,3.27,2.58,22,106,1.65,.6,.6,.96,5.58,.87,2.11,570
13.58,2.58,2.69,24.5,105,1.55,.84,.39,1.54,8.66,.74,1.8,750